,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
21135,INN21201,2,0,0,1,Meal Plan 2,0,Room_Type 1,29,Online,0,0,0,144.0,0,Not_Canceled,2018-12-17
21136,INN21202,2,0,2,3,Meal Plan 2,0,Room_Type 4,55,Online,0,0,0,164.9,1,Not_Canceled,2018-05-06
21137,INN21203,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,Not_Canceled,2017-11-20
21138,INN21204,0,2,0,1,Meal Plan 1,0,Room_Type 2,14,Online,0,0,0,109.55,1,Not_Canceled,2018-08-17
21139,INN21205,2,0,2,2,Not Selected,0,Room_Type 1,39,Online,0,0,0,72.2,1,Not_Canceled,2018-02-28
21140,INN21206,2,0,0,3,Meal Plan 1,0,Room_Type 2,246,Online,0,0,0,81.77,1,Canceled,2018-09-08
21141,INN21207,2,0,2,4,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,90.38,0,Not_Canceled,2018-12-07
21142,INN21208,2,1,0,4,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,90.0,1,Canceled,2018-05-04
21143,INN21209,2,0,0,2,Meal Plan 1,0,Room_Type 1,21,Online,0,0,0,104.05,0,Not_Canceled,2018-03-01
21144,INN21210,2,0,1,1,Meal Plan 1,0,Room_Type 4,9,Online,0,0,0,148.0,0,Not_Canceled,2018-12-31
21145,INN21211,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,3,66.0,0,Not_Canceled,2018-02-23
21146,INN21212,1,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,90.0,0,Not_Canceled,2018-08-25
21147,INN21213,2,0,2,2,Not Selected,0,Room_Type 1,217,Online,0,0,0,63.75,2,Canceled,2018-11-20
21148,INN21214,2,0,1,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,152.78,0,Canceled,2018-10-03
21149,INN21215,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,65.0,0,Not_Canceled,2017-08-31
21150,INN21216,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Offline,1,0,6,65.0,2,Not_Canceled,2018-12-20
21151,INN21217,2,0,2,2,Meal Plan 2,0,Room_Type 4,81,Online,0,0,0,111.78,1,Not_Canceled,2018-04-24
21152,INN21218,2,0,1,2,Meal Plan 1,0,Room_Type 1,279,Offline,0,0,0,80.75,1,Not_Canceled,2018-10-10
21153,INN21219,2,0,1,2,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,96.3,0,Not_Canceled,2018-03-18
21154,INN21220,2,0,0,3,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,176.67,1,Not_Canceled,2017-10-01
21155,INN21221,1,0,1,4,Meal Plan 1,0,Room_Type 1,150,Offline,0,0,0,68.0,0,Not_Canceled,2018-07-04
21156,INN21222,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,80.75,0,Not_Canceled,2018-04-10
21157,INN21224,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,140.0,0,Not_Canceled,2018-06-02
21158,INN21225,1,0,0,3,Meal Plan 1,0,Room_Type 1,2,Corporate,1,0,18,65.0,1,Not_Canceled,2018-03-30
21159,INN21226,1,0,0,1,Meal Plan 1,0,Room_Type 1,181,Offline,0,0,0,120.0,1,Canceled,2018-10-11
21160,INN21227,2,0,0,3,Not Selected,0,Room_Type 1,53,Online,0,0,0,79.2,0,Not_Canceled,2018-12-15
21161,INN21228,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Aviation,1,0,2,95.0,0,Not_Canceled,2018-06-06
21162,INN21229,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,1,1,0,102.6,0,Not_Canceled,2017-09-30
21163,INN21230,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,Offline,0,0,0,115.0,1,Canceled,2018-10-14
21164,INN21231,1,0,0,2,Meal Plan 1,0,Room_Type 1,26,Corporate,0,0,0,77.0,0,Not_Canceled,2018-11-16
21165,INN21232,2,0,2,2,Not Selected,0,Room_Type 1,10,Online,0,0,0,74.8,1,Not_Canceled,2018-12-23
21166,INN21233,1,0,2,0,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,75.6,0,Not_Canceled,2017-10-25
21167,INN21234,1,0,0,1,Meal Plan 1,0,Room_Type 7,0,Complementary,1,0,1,0.0,4,Not_Canceled,2018-08-04
21168,INN21235,2,0,1,2,Not Selected,0,Room_Type 1,46,Online,0,0,0,79.2,1,Not_Canceled,2018-12-16
21169,INN21236,3,0,2,3,Meal Plan 1,0,Room_Type 1,111,Offline,0,0,0,105.0,2,Not_Canceled,2018-05-29
21170,INN21237,2,1,0,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,119.0,0,Not_Canceled,2018-03-30
21171,INN21238,2,0,1,3,Meal Plan 2,0,Room_Type 1,2,Online,0,0,0,123.68,1,Not_Canceled,2018-11-21
21172,INN21239,2,1,0,2,Meal Plan 1,0,Room_Type 1,26,Online,0,0,0,145.0,2,Not_Canceled,2018-04-15
21173,INN21240,2,0,2,3,Meal Plan 1,0,Room_Type 1,10,Offline,0,0,0,58.0,0,Not_Canceled,2017-12-11
21174,INN21241,1,0,2,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,137.0,0,Canceled,2018-09-03
21175,INN21242,2,0,2,1,Meal Plan 2,0,Room_Type 1,150,Offline,0,0,0,101.0,0,Not_Canceled,2018-01-02
21176,INN21243,2,0,1,3,Meal Plan 1,0,Room_Type 1,240,Online,0,0,0,90.95,2,Not_Canceled,2018-10-27
21177,INN21244,1,0,0,3,Meal Plan 1,0,Room_Type 1,5,Offline,0,0,0,64.8,0,Not_Canceled,2017-12-01
21178,INN21245,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,80.75,0,Canceled,2018-10-23
21179,INN21246,1,0,1,0,Meal Plan 1,0,Room_Type 1,76,Offline,0,0,0,120.0,0,Canceled,2018-10-10
21180,INN21247,1,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,129.7,0,Not_Canceled,2018-09-25
21181,INN21248,2,0,0,1,Not Selected,0,Room_Type 1,22,Online,0,0,0,129.0,0,Canceled,2018-06-22
21182,INN21249,2,0,0,2,Not Selected,0,Room_Type 1,2,Online,0,0,0,130.0,3,Not_Canceled,2018-10-27
21183,INN21250,1,0,1,2,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,70.0,0,Not_Canceled,2018-06-17
21184,INN21251,2,0,0,5,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,90.0,2,Not_Canceled,2017-08-18
21185,INN21252,3,0,2,5,Meal Plan 1,0,Room_Type 4,206,Online,0,0,0,127.47,1,Canceled,2018-06-09
21186,INN21253,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Online,0,0,0,78.3,0,Not_Canceled,2018-12-27
21187,INN21254,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,Not_Canceled,2018-06-24
21188,INN21255,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,97.02,1,Not_Canceled,2018-05-23
21189,INN21256,3,0,0,2,Meal Plan 1,0,Room_Type 4,240,Online,0,0,0,159.3,0,Canceled,2018-09-30
21190,INN21257,2,2,1,3,Meal Plan 1,0,Room_Type 6,21,Online,0,0,0,231.0,0,Canceled,2018-08-22
21191,INN21258,1,0,0,2,Meal Plan 1,0,Room_Type 4,16,Online,0,0,0,131.0,1,Not_Canceled,2018-04-08
21192,INN21259,2,1,2,2,Meal Plan 2,0,Room_Type 6,22,Offline,0,0,0,134.78,0,Not_Canceled,2017-12-26
21193,INN21260,2,1,0,2,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,182.75,1,Canceled,2018-06-17
21194,INN21261,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,0,0,0,120.0,0,Not_Canceled,2018-06-14
21195,INN21262,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Corporate,0,0,0,81.0,0,Not_Canceled,2018-02-19
21196,INN21263,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,Offline,0,0,0,115.0,1,Canceled,2018-06-06
21197,INN21264,2,0,1,2,Meal Plan 1,0,Room_Type 1,186,Offline,0,0,0,80.0,0,Not_Canceled,2018-04-22
21198,INN21265,2,0,1,3,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,88.4,0,Not_Canceled,2018-11-28
21199,INN21266,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,58.92,0,Not_Canceled,2017-12-24
21200,INN21267,2,0,2,0,Not Selected,0,Room_Type 1,89,Online,0,0,0,71.28,1,Canceled,2018-11-27
21201,INN21268,2,0,2,0,Meal Plan 1,0,Room_Type 1,61,Offline,0,0,0,91.0,0,Not_Canceled,2017-10-04
21202,INN21269,2,0,2,1,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,99.3,1,Not_Canceled,2018-04-17
21203,INN21270,2,0,2,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,125.1,0,Canceled,2018-08-06
21204,INN21271,1,0,2,4,Meal Plan 2,0,Room_Type 1,327,Offline,0,0,0,76.0,0,Not_Canceled,2017-09-09
21205,INN21272,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Offline,0,0,0,65.0,0,Canceled,2018-04-29
21206,INN21273,2,0,0,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85.0,0,Not_Canceled,2018-10-20
21207,INN21274,2,0,1,2,Meal Plan 1,0,Room_Type 4,22,Online,0,0,0,108.0,1,Not_Canceled,2018-02-22
21208,INN21275,3,0,0,2,Meal Plan 1,0,Room_Type 4,50,Online,0,0,0,123.3,2,Not_Canceled,2018-03-30
21209,INN21276,3,0,0,1,Meal Plan 1,1,Room_Type 4,186,Online,0,0,0,137.7,0,Canceled,2018-08-27
21210,INN21277,1,0,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,103.0,2,Not_Canceled,2018-11-29
21211,INN21278,2,0,0,2,Meal Plan 1,0,Room_Type 1,7,Offline,0,0,0,67.0,0,Not_Canceled,2018-03-02
21212,INN21279,0,2,0,1,Meal Plan 1,0,Room_Type 2,201,Online,0,0,0,86.5,0,Canceled,2018-07-21
21213,INN21280,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,Offline,0,0,0,85.0,0,Canceled,2018-04-22
21214,INN21281,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Corporate,1,0,2,89.0,0,Not_Canceled,2018-06-22
21215,INN21282,2,0,0,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,139.0,1,Not_Canceled,2018-10-21
21216,INN21283,2,0,0,3,Not Selected,0,Room_Type 1,35,Online,0,0,0,125.1,0,Canceled,2018-03-24
21217,INN21284,3,0,2,2,Meal Plan 1,0,Room_Type 4,49,Online,0,0,0,121.13,1,Not_Canceled,2018-04-01
21218,INN21285,2,0,0,2,Meal Plan 1,0,Room_Type 1,53,Online,0,0,0,109.1,0,Not_Canceled,2018-06-21
21219,INN21286,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Offline,0,0,0,110.0,0,Canceled,2018-09-19
21220,INN21287,2,0,2,1,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,72.25,2,Not_Canceled,2017-12-12
21221,INN21288,2,0,0,1,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,126.9,0,Canceled,2018-06-22
21222,INN21289,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,Offline,0,0,0,75.0,0,Not_Canceled,2018-11-02
21223,INN21290,2,0,0,2,Meal Plan 1,0,Room_Type 4,5,Online,0,0,0,146.0,1,Not_Canceled,2018-06-07
21224,INN21291,2,0,1,1,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,114.0,1,Not_Canceled,2018-04-16
21225,INN21292,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,110.0,0,Not_Canceled,2018-06-06
21226,INN21293,2,0,2,4,Meal Plan 1,0,Room_Type 1,164,Online,0,0,0,106.53,0,Canceled,2018-08-14
21227,INN21294,2,2,0,4,Meal Plan 1,0,Room_Type 6,24,Online,0,0,0,147.9,1,Not_Canceled,2018-12-21
21228,INN21295,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,115.0,1,Canceled,2018-09-13
21229,INN21296,2,0,2,5,Meal Plan 1,0,Room_Type 4,140,Online,0,0,0,114.63,0,Not_Canceled,2018-07-31
21230,INN21297,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,Corporate,0,0,0,81.0,0,Not_Canceled,2018-02-19
21231,INN21298,3,0,1,4,Meal Plan 1,0,Room_Type 4,79,Online,0,0,0,139.5,0,Not_Canceled,2018-07-11
21232,INN21299,1,0,1,2,Meal Plan 2,0,Room_Type 1,80,Online,0,0,0,0.0,0,Not_Canceled,2018-09-26
21233,INN21300,2,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,115.2,0,Canceled,2018-10-01
21234,INN21301,2,0,2,1,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,112.8,0,Not_Canceled,2018-04-24
21235,INN21302,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,0,0,0,109.0,0,Not_Canceled,2017-09-18
21236,INN21303,2,1,2,1,Meal Plan 1,1,Room_Type 1,3,Online,0,0,0,104.0,1,Not_Canceled,2017-12-05
21237,INN21304,2,0,2,0,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,104.0,2,Not_Canceled,2018-12-04
21238,INN21305,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,Offline,0,0,0,90.0,0,Canceled,2018-10-05
21239,INN21306,2,0,0,2,Not Selected,1,Room_Type 1,4,Online,0,0,0,84.0,1,Not_Canceled,2018-01-22
21240,INN21307,2,0,0,1,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,159.3,2,Not_Canceled,2018-05-07
21241,INN21308,2,0,0,2,Not Selected,0,Room_Type 1,24,Online,0,0,0,139.0,2,Not_Canceled,2018-08-04
21242,INN21309,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,130.0,0,Canceled,2018-06-15
21243,INN21310,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,0,0,0,65.0,0,Not_Canceled,2017-10-10
21244,INN21311,2,0,0,3,Meal Plan 1,0,Room_Type 2,3,Online,0,0,0,96.5,1,Not_Canceled,2017-11-05
21245,INN21312,2,0,0,1,Meal Plan 1,0,Room_Type 4,31,Online,0,0,0,157.5,0,Not_Canceled,2018-10-07
21246,INN21313,1,0,2,2,Meal Plan 1,0,Room_Type 4,75,Online,0,0,0,112.28,3,Not_Canceled,2018-11-06
21247,INN21314,2,0,1,3,Meal Plan 1,0,Room_Type 1,332,Online,0,0,0,77.23,0,Canceled,2018-09-22
21248,INN21315,1,0,0,1,Not Selected,0,Room_Type 1,3,Online,0,0,0,119.0,1,Not_Canceled,2018-04-28
21249,INN21316,1,0,2,2,Meal Plan 1,0,Room_Type 1,162,Offline,0,0,0,115.0,0,Canceled,2018-10-14
21250,INN21317,0,2,2,2,Meal Plan 1,0,Room_Type 2,158,Online,0,0,0,83.5,2,Canceled,2018-10-30
21251,INN21318,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,126.0,1,Not_Canceled,2017-09-30
21252,INN21319,3,0,1,2,Meal Plan 1,0,Room_Type 4,50,Offline,0,0,0,90.0,1,Not_Canceled,2017-11-13
21253,INN21320,2,0,2,1,Meal Plan 1,0,Room_Type 2,44,Offline,0,0,0,95.0,0,Not_Canceled,2018-04-23
21254,INN21321,2,1,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,163.67,0,Canceled,2018-07-04
21255,INN21322,2,1,0,1,Meal Plan 1,0,Room_Type 1,92,Online,0,0,0,135.0,2,Not_Canceled,2018-10-06
21256,INN21323,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,Offline,0,0,0,94.5,0,Canceled,2017-08-15
21257,INN21324,1,0,0,1,Not Selected,0,Room_Type 1,103,Offline,0,0,0,85.0,0,Canceled,2018-09-28
21258,INN21325,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,Online,0,0,0,0.0,0,Not_Canceled,2017-12-10
21259,INN21326,1,0,0,1,Meal Plan 1,0,Room_Type 1,46,Online,0,0,0,86.4,2,Not_Canceled,2018-11-23
21260,INN21327,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,1,1,0,102.6,0,Not_Canceled,2017-09-30
21261,INN21328,2,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,93.0,0,Not_Canceled,2018-02-27
21262,INN21329,2,0,0,4,Meal Plan 1,0,Room_Type 1,76,Offline,0,0,0,79.56,0,Not_Canceled,2018-07-13
21263,INN21330,2,0,1,4,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,96.2,1,Not_Canceled,2017-12-30
21264,INN21331,2,2,0,1,Meal Plan 2,1,Room_Type 6,28,Online,0,0,0,277.0,2,Not_Canceled,2018-07-20
21265,INN21332,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Offline,0,0,0,65.0,0,Canceled,2017-10-30
21266,INN21333,1,0,0,1,Meal Plan 1,1,Room_Type 1,1,Corporate,1,1,4,67.0,1,Not_Canceled,2018-11-29
21267,INN21334,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,0,0,0,90.0,0,Not_Canceled,2018-07-30
21268,INN21335,2,0,2,3,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,140.8,1,Not_Canceled,2018-08-27
21269,INN21336,2,0,0,4,Meal Plan 1,0,Room_Type 4,63,Online,0,0,0,115.5,1,Not_Canceled,2017-12-30
21270,INN21337,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,0,0,0,80.0,0,Not_Canceled,2017-07-01
21271,INN21338,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Corporate,0,0,0,66.0,0,Not_Canceled,2018-01-14
21272,INN21339,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Offline,0,0,0,110.0,0,Canceled,2018-11-01
21273,INN21340,2,0,1,3,Not Selected,0,Room_Type 1,105,Online,0,0,0,61.09,1,Not_Canceled,2018-12-26
21274,INN21341,2,2,0,3,Meal Plan 1,0,Room_Type 6,24,Online,0,0,0,207.0,2,Not_Canceled,2018-04-14
21275,INN21342,2,2,2,1,Meal Plan 1,0,Room_Type 6,17,Online,0,0,0,224.33,0,Canceled,2018-03-26
21276,INN21343,2,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,97.0,0,Not_Canceled,2017-12-23
21277,INN21344,2,0,2,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,91.0,0,Canceled,2018-02-05
21278,INN21345,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,113.55,2,Not_Canceled,2018-10-26
21279,INN21346,1,0,2,3,Meal Plan 1,0,Room_Type 4,36,Corporate,0,0,0,110.0,0,Not_Canceled,2018-09-11
21280,INN21347,3,0,1,1,Meal Plan 1,0,Room_Type 1,40,Offline,0,0,0,98.0,0,Not_Canceled,2017-10-05
21281,INN21348,1,0,0,3,Meal Plan 1,0,Room_Type 1,308,Online,0,0,0,78.3,2,Canceled,2018-11-23
21282,INN21349,2,0,0,2,Meal Plan 1,0,Room_Type 1,308,Offline,0,0,0,52.0,0,Canceled,2018-11-25
21283,INN21350,3,0,1,3,Meal Plan 1,0,Room_Type 4,28,Online,0,0,0,130.9,2,Not_Canceled,2018-12-15
21284,INN21351,1,0,1,2,Meal Plan 1,0,Room_Type 1,280,Offline,0,0,0,100.0,0,Canceled,2018-09-19
21285,INN21352,2,0,1,1,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,96.3,1,Not_Canceled,2018-06-27
21286,INN21353,2,0,1,4,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,107.0,1,Not_Canceled,2017-11-02
21287,INN21354,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,0,0,0,95.0,0,Canceled,2018-09-22
21288,INN21355,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,0,0,0,116.33,0,Canceled,2018-09-22
21289,INN21356,2,0,1,2,Meal Plan 1,0,Room_Type 1,144,Offline,0,0,0,75.0,0,Canceled,2018-07-01
21290,INN21357,1,0,2,1,Meal Plan 2,0,Room_Type 1,220,Offline,0,0,0,128.0,0,Canceled,2018-09-17
21291,INN21358,1,0,2,6,Meal Plan 1,0,Room_Type 1,115,Offline,0,0,0,64.75,0,Canceled,2018-02-27
21292,INN21359,2,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,108.9,1,Not_Canceled,2018-06-20
21293,INN21360,2,0,2,2,Not Selected,0,Room_Type 1,50,Online,0,0,0,63.75,0,Canceled,2018-03-11
21294,INN21361,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Offline,0,0,0,100.0,0,Canceled,2018-06-03
21295,INN21362,1,0,0,2,Meal Plan 1,0,Room_Type 1,20,Corporate,0,0,0,65.0,0,Canceled,2018-08-02
21296,INN21363,2,0,0,4,Meal Plan 1,0,Room_Type 1,217,Online,0,0,0,90.1,2,Canceled,2018-05-25
21297,INN21364,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,Corporate,0,0,0,90.0,0,Not_Canceled,2018-06-22
21298,INN21365,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,Canceled,2018-06-12
21299,INN21366,2,0,0,2,Meal Plan 1,0,Room_Type 4,41,Online,0,0,0,118.0,0,Not_Canceled,2018-11-02
21300,INN21367,2,0,2,1,Meal Plan 1,0,Room_Type 1,69,Online,0,0,0,99.3,0,Not_Canceled,2018-04-17
21301,INN21368,2,0,1,4,Meal Plan 1,0,Room_Type 4,96,Online,0,0,0,132.3,2,Not_Canceled,2018-10-19
21302,INN21369,2,0,0,2,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,80.3,0,Not_Canceled,2018-02-26
21303,INN21370,2,0,0,1,Not Selected,0,Room_Type 1,28,Online,0,0,0,79.0,0,Canceled,2018-03-18
21304,INN21371,2,0,0,1,Meal Plan 1,0,Room_Type 2,220,Online,0,0,0,95.62,0,Canceled,2018-08-11
21305,INN21372,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,0,0,0,65.0,0,Not_Canceled,2017-11-19
21306,INN21373,1,0,1,1,Meal Plan 1,0,Room_Type 1,6,Corporate,0,0,0,80.0,0,Not_Canceled,2018-03-07
21307,INN21374,2,0,0,3,Meal Plan 1,1,Room_Type 1,87,Online,0,0,0,89.25,2,Not_Canceled,2017-09-15
21308,INN21375,1,0,1,2,Meal Plan 1,0,Room_Type 1,11,Offline,0,0,0,55.0,0,Not_Canceled,2017-11-30
21309,INN21376,2,0,2,3,Meal Plan 1,0,Room_Type 1,109,Online,0,0,0,76.5,1,Not_Canceled,2017-08-09
21310,INN21377,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,Complementary,0,0,0,0.0,0,Not_Canceled,2018-11-10
21311,INN21378,2,0,0,3,Meal Plan 1,0,Room_Type 1,7,Offline,0,0,0,66.0,1,Not_Canceled,2017-08-05
21312,INN21379,2,0,1,0,Meal Plan 1,0,Room_Type 1,6,Offline,0,0,0,85.0,1,Not_Canceled,2018-03-20
21313,INN21380,3,0,1,1,Meal Plan 1,0,Room_Type 4,100,Online,0,0,0,137.7,2,Not_Canceled,2018-07-18
21314,INN21381,3,0,2,3,Meal Plan 1,0,Room_Type 4,49,Online,0,0,0,137.7,0,Canceled,2018-06-19
21315,INN21382,2,1,2,5,Meal Plan 1,0,Room_Type 1,147,Online,0,0,0,122.04,0,Canceled,2018-08-13
21316,INN21383,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,Offline,0,0,0,85.0,0,Canceled,2018-04-22
21317,INN21384,2,1,1,2,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,165.67,0,Canceled,2018-03-25
21318,INN21385,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,Offline,0,0,0,115.0,0,Canceled,2018-08-19
21319,INN21386,3,0,0,2,Meal Plan 1,0,Room_Type 1,239,Online,0,0,0,128.7,1,Canceled,2018-10-28
21320,INN21387,2,2,2,1,Meal Plan 1,0,Room_Type 6,5,Online,0,0,0,185.33,0,Not_Canceled,2018-12-03
21321,INN21388,2,1,1,1,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,112.5,2,Not_Canceled,2018-04-18
21322,INN21389,2,0,1,2,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,89.25,2,Not_Canceled,2017-09-18
21323,INN21390,2,0,1,3,Not Selected,0,Room_Type 1,34,Online,0,0,0,71.1,0,Not_Canceled,2018-03-14
21324,INN21391,2,0,0,3,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,109.0,0,Canceled,2018-03-17
21325,INN21392,2,0,1,0,Not Selected,0,Room_Type 1,15,Online,0,0,0,129.0,2,Not_Canceled,2018-08-21
21326,INN21393,2,0,1,2,Meal Plan 1,0,Room_Type 1,7,Offline,0,0,0,82.0,0,Not_Canceled,2018-02-19
21327,INN21394,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,Corporate,0,0,0,100.0,0,Canceled,2018-05-31
21328,INN21395,1,0,0,4,Meal Plan 1,0,Room_Type 1,9,Online,0,0,0,84.0,0,Not_Canceled,2018-01-20
21329,INN21396,2,0,1,4,Meal Plan 1,0,Room_Type 4,54,Online,0,0,0,118.2,1,Not_Canceled,2017-12-30
21330,INN21397,1,0,0,1,Meal Plan 2,0,Room_Type 4,55,Offline,0,0,0,92.0,0,Not_Canceled,2018-04-06
21331,INN21398,2,0,0,1,Meal Plan 1,0,Room_Type 4,91,Offline,0,0,0,70.0,0,Canceled,2018-03-18
21332,INN21399,1,0,1,3,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,123.98,2,Not_Canceled,2018-09-05
21333,INN21400,2,0,1,2,Not Selected,0,Room_Type 1,144,Online,0,0,0,103.5,0,Canceled,2018-08-15
21334,INN21401,2,0,2,1,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,92.95,1,Not_Canceled,2018-01-02
21335,INN21402,2,0,1,4,Meal Plan 1,0,Room_Type 1,84,Offline,0,0,0,75.34,0,Not_Canceled,2018-03-30
21336,INN21403,2,2,0,3,Meal Plan 1,0,Room_Type 6,45,Online,0,0,0,204.0,2,Not_Canceled,2018-10-06
21337,INN21404,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,74.69,0,Not_Canceled,2017-12-04
21338,INN21405,2,1,0,2,Meal Plan 1,0,Room_Type 6,155,Online,0,0,0,186.3,0,Canceled,2018-08-16
21339,INN21406,2,0,2,2,Meal Plan 1,0,Room_Type 1,39,Offline,0,0,0,85.0,0,Not_Canceled,2018-07-23
21340,INN21407,1,0,2,0,Not Selected,0,Room_Type 1,4,Online,0,0,0,118.58,1,Not_Canceled,2018-09-25
21341,INN21408,2,1,1,0,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,112.5,0,Not_Canceled,2018-06-27
21342,INN21409,2,0,2,2,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,66.24,0,Not_Canceled,2017-12-25
21343,INN21410,2,0,2,2,Meal Plan 1,0,Room_Type 1,27,Online,0,0,0,90.84,2,Not_Canceled,2018-05-22
